AT (Original),AT (Min-Max),AT (Z-Score),V (Original),V (Min-Max),V (Z-Score),AP (Original),AP (Min-Max),AP (Z-Score),RH (Original),RH (Min-Max),RH (Z-Score),PE (Original),PE (Min-Max),PE (Z-Score)
14.96,16.86,-0.63,41.76,6.46,-0.99,1024.07,0.77,1.82,73.17,0.64,-0.01,463.26,1.00,0.52
25.18,18.31,0.74,62.96,8.35,0.68,1020.04,0.67,1.14,59.08,0.45,-0.97,444.37,1.00,-0.59
5.11,15.47,-1.95,39.40,6.25,-1.17,1012.16,0.48,-0.19,92.14,0.89,1.29,488.56,1.00,2.00
20.86,17.70,0.16,57.32,7.84,0.24,1010.24,0.43,-0.51,76.64,0.68,0.23,446.48,1.00,-0.46
10.82,16.28,-1.19,37.50,6.08,-1.32,1009.23,0.40,-0.68,96.62,0.95,1.60,473.90,1.00,1.14
26.27,18.46,0.89,59.44,8.03,0.40,1012.23,0.48,-0.17,58.77,0.45,-1.00,443.67,1.00,-0.63
15.89,16.99,-0.50,43.96,6.65,-0.81,1014.02,0.52,0.13,75.24,0.67,0.13,467.35,1.00,0.76
9.48,16.09,-1.36,44.71,6.72,-0.76,1019.12,0.65,0.99,66.43,0.55,-0.47,478.42,1.00,1.41
14.64,16.82,-0.67,45.00,6.75,-0.73,1021.78,0.71,1.43,41.25,0.21,-2.20,475.98,1.00,1.27
11.74,16.41,-1.06,43.56,6.62,-0.85,1015.14,0.55,0.32,70.72,0.61,-0.18,477.50,1.00,1.36
17.99,17.29,-0.22,43.72,6.63,-0.83,1008.64,0.39,-0.78,75.04,0.66,0.12,453.02,1.00,-0.08
20.14,17.60,0.07,46.93,6.92,-0.58,1014.66,0.54,0.24,64.22,0.52,-0.62,453.99,1.00,-0.02
24.34,18.19,0.63,73.50,9.28,1.51,1011.31,0.46,-0.33,84.15,0.79,0.74,440.29,1.00,-0.82
25.71,18.39,0.81,58.59,7.96,0.34,1012.77,0.49,-0.08,61.83,0.49,-0.79,451.28,1.00,-0.18
26.19,18.45,0.88,69.34,8.91,1.18,1009.48,0.41,-0.64,87.59,0.83,0.98,433.99,1.00,-1.19
21.42,17.78,0.24,43.79,6.64,-0.83,1015.76,0.57,0.42,43.08,0.23,-2.07,462.19,1.00,0.46
18.21,17.32,-0.19,45.00,6.75,-0.73,1022.86,0.74,1.62,48.84,0.31,-1.68,467.54,1.00,0.77
11.04,16.31,-1.16,41.74,6.46,-0.99,1022.60,0.74,1.57,77.51,0.70,0.29,477.20,1.00,1.34
14.45,16.79,-0.70,52.75,7.44,-0.12,1023.97,0.77,1.80,63.59,0.51,-0.67,459.85,1.00,0.32
13.97,16.72,-0.76,38.47,6.17,-1.25,1015.15,0.55,0.32,55.28,0.40,-1.23,464.30,1.00,0.58
17.76,17.26,-0.25,42.42,6.52,-0.94,1009.09,0.40,-0.70,66.26,0.55,-0.48,468.27,1.00,0.81
5.41,15.51,-1.91,40.07,6.31,-1.12,1019.16,0.65,0.99,64.77,0.53,-0.58,495.24,1.00,2.40
7.76,15.84,-1.60,42.28,6.51,-0.95,1008.52,0.39,-0.80,83.31,0.77,0.69,483.80,1.00,1.72
27.23,18.60,1.02,63.90,8.43,0.76,1014.30,0.53,0.18,47.19,0.29,-1.79,443.61,1.00,-0.63
