Original Values (Sorted):
3, 4, 4, 5, 7, 7, 7, 7, 7, 7, 8, 9, 9, 9, 9, 9, 10, 11, 12, 12, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 18, 18, 18, 18, 19, 20, 20, 20, 20, 21, 21, 22, 22, 23, 23, 23, 23, 23, 23, 24, 24, 25, 25, 25, 26, 26, 26, 27, 27, 27, 27, 27, 27, 27, 28, 28, 29, 29, 29, 29, 29, 30, 31, 31, 32, 32, 32, 32, 32

Bin NumberMean      Median    Boundary Start Boundary End   
------------------------------------------------------------
1         5         4         3              7              
2         7         7         7              9              
3         9         9         9              11             
4         12        12        12             13             
5         13        14        13             15             
6         15        15        15             16             
7         16        16        16             16             
8         17        17        16             18             
9         19        20        18             20             
10        22        22        21             23             
11        23        23        23             24             
12        25        25        25             26             
13        27        27        27             27             
14        28        28        27             29             
15        31        31        29             32             
