AT (Original),AT (Binned),AT (Min-Max),AT (Z-Score)
1.81,5.96,0.00,-1.84
2.34,5.96,0.00,-1.84
2.58,5.96,0.00,-1.84
2.64,5.96,0.00,-1.84
2.71,5.96,0.00,-1.84
2.80,5.96,0.00,-1.84
3.00,5.96,0.00,-1.84
3.20,5.96,0.00,-1.84
3.21,5.96,0.00,-1.84
3.21,5.96,0.00,-1.84
3.26,5.96,0.00,-1.84
3.31,5.96,0.00,-1.84
3.38,5.96,0.00,-1.84
3.38,5.96,0.00,-1.84
3.40,5.96,0.00,-1.84
3.51,5.96,0.00,-1.84
3.60,5.96,0.00,-1.84
3.63,5.96,0.00,-1.84
3.68,5.96,0.00,-1.84
3.69,5.96,0.00,-1.84
3.73,5.96,0.00,-1.84
3.74,5.96,0.00,-1.84
3.82,5.96,0.00,-1.84
3.85,5.96,0.00,-1.84
3.91,5.96,0.00,-1.84
3.92,5.96,0.00,-1.84
3.94,5.96,0.00,-1.84
3.95,5.96,0.00,-1.84
3.95,5.96,0.00,-1.84
3.96,5.96,0.00,-1.84
3.98,5.96,0.00,-1.84
3.99,5.96,0.00,-1.84
3.99,5.96,0.00,-1.84
4.00,5.96,0.00,-1.84
4.00,5.96,0.00,-1.84
4.04,5.96,0.00,-1.84
4.08,5.96,0.00,-1.84
4.11,5.96,0.00,-1.84
4.15,5.96,0.00,-1.84
4.15,5.96,0.00,-1.84
4.16,5.96,0.00,-1.84
4.23,5.96,0.00,-1.84
4.24,5.96,0.00,-1.84
4.27,5.96,0.00,-1.84
4.31,5.96,0.00,-1.84
4.32,5.96,0.00,-1.84
4.41,5.96,0.00,-1.84
4.43,5.96,0.00,-1.84
4.44,5.96,0.00,-1.84
4.47,5.96,0.00,-1.84
4.49,5.96,0.00,-1.84
4.49,5.96,0.00,-1.84
4.56,5.96,0.00,-1.84
4.59,5.96,0.00,-1.84
4.61,5.96,0.00,-1.84
4.62,5.96,0.00,-1.84
4.65,5.96,0.00,-1.84
4.69,5.96,0.00,-1.84
4.70,5.96,0.00,-1.84
4.71,5.96,0.00,-1.84
4.71,5.96,0.00,-1.84
4.73,5.96,0.00,-1.84
4.77,5.96,0.00,-1.84
4.78,5.96,0.00,-1.84
4.78,5.96,0.00,-1.84
4.81,5.96,0.00,-1.84
4.83,5.96,0.00,-1.84
4.84,5.96,0.00,-1.84
4.86,5.96,0.00,-1.84
4.87,5.96,0.00,-1.84
4.87,5.96,0.00,-1.84
4.88,5.96,0.00,-1.84
4.89,5.96,0.00,-1.84
4.93,5.96,0.00,-1.84
4.93,5.96,0.00,-1.84
4.95,5.96,0.00,-1.84
4.96,5.96,0.00,-1.84
4.96,5.96,0.00,-1.84
4.96,5.96,0.00,-1.84
4.97,5.96,0.00,-1.84
4.97,5.96,0.00,-1.84
4.97,5.96,0.00,-1.84
4.99,5.96,0.00,-1.84
4.99,5.96,0.00,-1.84
5.00,5.96,0.00,-1.84
5.01,5.96,0.00,-1.84
5.02,5.96,0.00,-1.84
5.02,5.96,0.00,-1.84
5.04,5.96,0.00,-1.84
5.05,5.96,0.00,-1.84
5.06,5.96,0.00,-1.84
5.07,5.96,0.00,-1.84
5.09,5.96,0.00,-1.84
5.10,5.96,0.00,-1.84
5.11,5.96,0.00,-1.84
5.11,5.96,0.00,-1.84
5.12,5.96,0.00,-1.84
5.15,5.96,0.00,-1.84
5.15,5.96,0.00,-1.84
5.15,5.96,0.00,-1.84
5.15,5.96,0.00,-1.84
5.17,5.96,0.00,-1.84
5.17,5.96,0.00,-1.84
5.18,5.96,0.00,-1.84
5.18,5.96,0.00,-1.84
5.19,5.96,0.00,-1.84
5.21,5.96,0.00,-1.84
5.21,5.96,0.00,-1.84
5.21,5.96,0.00,-1.84
5.21,5.96,0.00,-1.84
5.23,5.96,0.00,-1.84
5.23,5.96,0.00,-1.84
5.24,5.96,0.00,-1.84
5.25,5.96,0.00,-1.84
5.25,5.96,0.00,-1.84
5.28,5.96,0.00,-1.84
5.28,5.96,0.00,-1.84
5.29,5.96,0.00,-1.84
5.30,5.96,0.00,-1.84
5.33,5.96,0.00,-1.84
5.34,5.96,0.00,-1.84
5.35,5.96,0.00,-1.84
5.35,5.96,0.00,-1.84
5.37,5.96,0.00,-1.84
5.37,5.96,0.00,-1.84
5.40,5.96,0.00,-1.84
5.41,5.96,0.00,-1.84
5.41,5.96,0.00,-1.84
5.42,5.96,0.00,-1.84
5.43,5.96,0.00,-1.84
5.45,5.96,0.00,-1.84
5.46,5.96,0.00,-1.84
5.47,5.96,0.00,-1.84
5.47,5.96,0.00,-1.84
5.48,5.96,0.00,-1.84
5.49,5.96,0.00,-1.84
5.49,5.96,0.00,-1.84
5.50,5.96,0.00,-1.84
5.51,5.96,0.00,-1.84
5.51,5.96,0.00,-1.84
5.52,5.96,0.00,-1.84
5.52,5.96,0.00,-1.84
5.53,5.96,0.00,-1.84
